"Molecule_CanonicalSmiles","DRUGBANK_ID","COMMON_NAME","Molecule_InChIKey","Pattern","Target"
"C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1","DB12114","Poziotinib","LPFWVDIFUFFKJU-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1","DB06021","AV-412","ZAJXXUDARPGGOC-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1","DB05424","Canertinib","OMZCMEYTWSXEPZ-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1","DB07662","PD-168393","HTUBKQUPEREOGA-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC(=O)Nc1ccc2ncnc(Nc3ccccc3)c2c1","DB08462","N-(4-PHENYLAMINO-QUINAZOLIN-6-YL)-ACRYLAMIDE","JGWHILNNHLDARR-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1","DB11907","Rociletinib","HUFOZJXAKZVRNJ-UHFFFAOYSA-N","[#6]1:[#6]:[#6](-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#7]:[#6](:[#7]:1)-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1","DB11764","Spebrutinib","KXBDTLQSDKGAEB-UHFFFAOYSA-N","[#6]1:[#6]:[#6](-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#7]:[#6](:[#7]:1)-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)C(CC(=O)N1CCCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1","DB12069","Sovaprevir","MHFMTUBUVQZIRE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O","DB11808","Faldaprevir","LLGDPTDZOVKFDU-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C1CCCC1)NC(=O)OC1CCCC1CCCCCn1c(nc3cc(OC)ccc3c1=O)O2)C(=O)NS(=O)(=O)C1(C)CC1","DB15371","MK-2748","HMYVZDWJFQOHCD-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12","DB00468","Quinine","LOUPRKONTZGTKE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC","DB12120","Avoralstat","TUWMKPVJGGWGNL-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C","DB08882","Linagliptin","LTXREWYXXSTFRX-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(=O)N(CCCCNCCCn1c(=O)[nH]c2ccccc2c1=O)CCCn1c(=O)[nH]c2ccccc2c1=O","DB11670","SP-8203","SJZBPVOSFYUHFV-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(Cl)cnc5c4OCO5)ncnc3c2)CC1","DB13088","AZD-0424","MVWATCATLSSVBH-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(=O)Nc1cc2cccnc2c2ncccc12","DB08440","N-1,10-phenanthrolin-5-ylacetamide","AAJXINSCZMZERD-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1","DB12291","Tacedinaline","VAZAPHZUAVEOMC-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1","DB14627","Oxyphenisatin acetate","PHPUXYRXPHEJDF-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1","P11166"
"CC(C(=O)Nc1ccc(Cl)cc1)C1CCC(c2ccnc3ccc(F)cc23)CC1","DB14986","Linrodostat","KRTIYQIPSAGSBP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1","DB08951","Indoprofen","RJMIEHBSYVWVIN-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1","DB01232","Saquinavir","QWAXKHKRTORLEM-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1","DB06933","N-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide","GJTCKUKIFXWJKG-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12","DB07612","6-(3-AMINOPHENYL)-N-(TERT-BUTYL)-2-(TRIFLUOROMETHYL)QUINAZOLIN-4-AMINE","XQKJVNGGVLHNLA-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O","DB08820","Ivacaftor","PURKAOJPTOLRMP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1","DB01958","5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine","MNYDVPDMLAJJPB-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1","DB00471","Montelukast","UCHDWCPVSPXUMX-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)=CCCC(C)=CCCC(C)=CCN1C(=O)c2cccc(O)c2Nc2c(O)cc(O)cc21","DB12420","Diazepinomicin","SALVHVNECODMJP-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O","DB04582","Imazaquin","CABMTIJINOIHOD-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)C1=NCCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21","DB02473","6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine","XRHANBWAKSYPEN-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)C1NCCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21","DB02705","6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine","DARQQJKHXPXSRO-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21","DB07275","3-(1,1-dioxido-4H-1,2,4-benzothiadiazin-3-yl)-4-hydroxy-1-(3-methylbutyl)quinolin-2(1H)-one","MQFPIRFODWNQIO-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C","DB12178","Telinavir","ZILOOGIOHVCEKS-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)Cn1cnc2c(N)nc3ccccc3c21","DB00724","Imiquimod","DOUYETYNHWVLEO-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)NC(=O)CC1CCCN(C(=O)c2ccc(N3CCCC3)cc2Cl)c2ccccc21","DB05838","OPC-51803","INGXCNVWWKKWOO-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)Oc1cccc(NC(=O)c2cc(Cl)c(OCCN)c(Cl)c2)c1","DB08072","4-(2-AMINOETHOXY)-3,5-DICHLORO-N-[3-(1-METHYLETHOXY)PHENYL]BENZAMIDE","AYKUIRSGEMLIFT-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC(C)c1c(OC#CC2CC2)c2cc(F)ccc2[nH]c1=O","DB07864","4-[(CYCLOPROPYLETHYNYL)OXY]-6-FLUORO-3-ISOPROPYLQUINOLIN-2(1H)-ONE","YVJFHKQYMKKIHK-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)c1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O","DB07871","6-CHLORO-4-(CYCLOHEXYLOXY)-3-ISOPROPYLQUINOLIN-2(1H)-ONE","OQCFORGSZJSAEL-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)c1cc2[nH]c(=O)n(NS(C)(=O)=O)c(=O)c2cc1-c1ccnn1C","DB12367","Selurampanel","MCECSFFXUPEPDB-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(C)n1c(=O)c(C(=O)NC2CC3CCC(C2)N3CC(O)CN(C)S(C)(=O)=O)cc2ccccc21","DB12702","Velusetrag","HXLOHDZQBKCUCR-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21","DB08054","1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine","GEZALMMCQYDFML-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(CCC(=O)NC(CCCCNC(=S)Nc1ccc(C2c3ccc(O)cc3Oc3cc(O)ccc32)c(C(=O)O)c1)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C","DB12030","Fluorescein lisicol","PVZRIVQDZVBHOW-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1","P11166"
"CC(Nc1ncnc2cc(F)c(F)cc12)C(c1ccccc1)c1ccccc1","DB03678","(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine","WVGZKPGUHOZIJQ-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(Nc1ncnc2nc[nH]c12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1","DB15407","Acalisib","DOCINCLJNAXZQF-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(O)C(N)C(=O)N1CCCC1C(=O)N1CCCC1(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)O","DB11784","NRX-1074","DVBUEXCIEIAXPM-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](-[#6]-[#6]2-[#7]-[#6]-[#6]-[#6]-2):[#6]:[#6]:1","P11166"
"CC(Oc1cccc2nc(N)nc(N)c12)c1cccc(Cl)c1","DB07644","5-[(1S)-1-(3-chlorophenyl)ethoxy]quinazoline-2,4-diamine","IDHINEMSCUFEIP-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC(c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1","DB15450","PF-05105679","BXNMZRPTQFVRFA-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC(n1cnc2cc(Cl)ccc2c1=O)C(O)(Cn1cncn1)c1ccc(F)cc1F","DB12073","Albaconazole","UHIXWHUVLCAJQL-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
"CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl","DB05653","IRX-5183","PNAWUIKCVQSLFG-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21","DB04942","Tamibarotene","MUTNCGKQJGXKEM-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P11166"
"CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1","DB11832","Crenolanib","DYNHJHQFHQTFTP-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1","DB06075","Linsitinib","PKCDDUHJAFVJJB-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1C2N(C(=O)CN(C)N2C(=O)NCc2ccccc2)C(Cc2ccc(OP(=O)(O)O)cc2)C(=O)N1Cc1cccc2cccnc12","DB15034","PRI-724","VHOZWHQPEJGPCC-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CCC(C(O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1","DB05234","LGD2941","HWLLYFXDDGGHOE-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23","DB12447","Nadifloxacin","JYJTVFIEFKZWCJ-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23","DB08972","Flumequine","DPSPPJIUMHPXMA-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1","DB11443","Orbifloxacin","QIPQASLPWJVQMH-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1","DB01208","Sparfloxacin","DZZWHBIBMUVIIW-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1","DB01405","Temafloxacin","QKDHBVNJCZBTMR-UHFFFAOYSA-N","[#6]1:[#6]:[#7]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2, [#6]1:[#6]:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6]:[#6]:2","P11166"
"CC1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1","DB05944","Varlitinib","UWXSAYUXVSFDBQ-UHFFFAOYSA-N","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","P11166"
